source_page,dictionary_name,word,phonetic,part_of_speech_raw,part_of_speech_code,meaning_vi,is_subentry,example_en,example_vi,image_path,reviewed
1518,Military Dictionary,IF (Instrument flying),,,,sự bay bằng khí tài,FALSE,,,img_1518.jpg,FALSE
1518,Military Dictionary,IF (intermediate frequency),,,,tần số trung gian,FALSE,,,img_1518.jpg,FALSE
1518,Military Dictionary,IF/FCS (Integrated fire/flight control system),,,,hệ thống chỉ huy hỏa lực và điều khiển bay hợp nhất,FALSE,,,img_1518.jpg,FALSE
1518,Military Dictionary,IFC (Integrated fire control),,,,(hệ thống) điều khiển hoả lực hợp nhất,FALSE,,,img_1518.jpg,FALSE
1518,Military Dictionary,IFC (Intelligence fusion center),,,,trung tâm liên kết tình báo,FALSE,,,img_1518.jpg,FALSE
1518,Military Dictionary,IFCS (Improved Fire-Control System),,,,hệ thống điều khiển hoả lực cải tiến,FALSE,,,img_1518.jpg,FALSE
1518,Military Dictionary,IFCS (Integrated Fire-Control System),,,,hệ thống điều khiển hoả lực hợp nhất,FALSE,,,img_1518.jpg,FALSE
1518,Military Dictionary,IFF (identification friend or foe),,,,sự nhận biết ta - địch; sự nhận biết máy bay ta - địch,FALSE,,,img_1518.jpg,FALSE
1518,Military Dictionary,"IFF/SIF (identification, friend or foe/selective identification feature)",,,,đặc điểm nhận biết lựa chọn/ nhận biết ta - địch,FALSE,,,img_1518.jpg,FALSE
1518,Military Dictionary,"IFFN (identification, friend, foe, or neutral)",,,,sự nhận biết ta - địch hoặc lực lượng trung lập,FALSE,,,img_1518.jpg,FALSE
1518,Military Dictionary,IFICS (In-flight Interceptor Communications System),,,,hệ thống thông tin liên lạc của tổ hợp đánh chặn (tên lửa đạn đạo) trên đường bay,FALSE,,,img_1518.jpg,FALSE
1518,Military Dictionary,IFM (Infantry Field Manual),,,,điều lệnh chiến đấu bộ binh,FALSE,,,img_1518.jpg,FALSE
