source_page,dictionary_name,word,phonetic,part_of_speech_raw,part_of_speech_code,meaning_vi,is_subentry,example_en,example_vi,image_path,reviewed
1533,Military Dictionary,JFMO (Joint Frequency Management Office),,,,phòng quản lý tần số liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JFP (joint force package),,,,bưu kiện liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JFRB (Joint Foreign Release Board),,,,hội đồng phát hành ra nước ngoài của liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JFRG (joint force requirements generator),,,,người đề xuất các nhu cầu liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JFS (joint force surgeon),,,,bác sĩ phẫu thuật liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JFSOC (joint force special operations commander),,,,tư lệnh (trưởng) tác chiến đặc biệt của lực lượng liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JFSOCC (joint force special operations component commander),,,,tư lệnh (trưởng) thành phần lực lượng tác chiến đặc biệt trong lực lượng liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JFTR (Joint Federal Travel Regulations),,,,quy chế thông hành liên bang liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JFUB (Joint Facilities Utilization Board),,,,hội đồng sử dụng các phương tiện bảo đảm liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JGSDF (Japanese Ground Self-Defence Force),,,,lực lượng phòng vệ lục quân Nhật Bản,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JHQ (joint headquarters),,,,"sở chỉ huy liên quân, trụ sở bộ chỉ huy quân chủng hợp thành",FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JI (joint inspection),,,,sự thanh tra liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIADS (joint integrated air defense system),,,,hệ thống phòng không hợp nhất liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIATF (joint interagency task force (DOD)),,,,lực lượng đặc nhiệm liên ngành liên quân (bộ quốc phòng Mỹ),FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIATF-E (joint interagency task force - East),,,,lực lượng đặc nhiệm liên ngành liên quân miền Đông,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIATF-S (joint interagency task force - South),,,,lực lượng đặc nhiệm liên ngành liên quân miền Nam,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIATF-W (joint interagency task force - West),,,,lực lượng đặc nhiệm liên ngành liên quân miền Tây,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIB (Joint Intelligence Bureau),,,,cục tình báo liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIC (Joint Intelligence Center),,,,trung tâm tình báo liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIC (Joint Intelligence Committee),,,,uỷ ban tình báo liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JICA (Japan International Cooperation Agency),,,,cơ quan hợp tác quốc tế Nhật Bản chuyên trách huấn luyện quân sự cho các nước đang phát triển,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JICA (Joint Intelligence Collecting Agency),,,,cơ quan thu thập tin tức tình báo liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JICC (joint information coordination center),,,,trung tâm phối hợp thông tin liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JICO (joint interface control officer),,,,sĩ quan kiểm soát giao diện liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,"JICPAC (Joint Intelligence Center, Pacific)",,,,trung tâm tình báo liên quân khu vực Thái Bình Dương,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JICS (Joint Intelligence Coordination Staff),,,,bộ tham mưu phối hợp trinh sát liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIDC (joint interrogation and debriefing center),,,,trung tâm thẩm vấn và phỏng vấn liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIEO (joint interoperability engineering organizations),,,,các tổ chức phối hợp tác chiến công binh liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIEP (joint intelligence estimate for planning),,,,đánh giá của tình báo liên quân phục vụ lập kế hoạch,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIES (joint interoperability evaluation system),,,,hệ thống đánh giá khả năng phối hợp tác chiến liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIG (joint intelligence group),,,,nhóm tình báo liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JILE (joint intelligence liaison element),,,,bộ phận thông tin liên lạc tình báo liên quân,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIMP (joint implementation master plan),,,,kế hoạch chủ đạo do liên quân thi hành,FALSE,,,img_1533.jpg,FALSE
1533,Military Dictionary,JIMPP (joint industrial mobilization planning process),,,,quá trình lập kế hoạch động viên công nghiệp liên quân,FALSE,,,img_1533.jpg,FALSE
1534,Military Dictionary,JIMS (joint information management system),,,,hệ thống quản lý thông tin liên quân,FALSE,,,img_1534.jpg,FALSE
