source_page,dictionary_name,word,phonetic,part_of_speech_raw,part_of_speech_code,meaning_vi,is_subentry,example_en,example_vi,image_path,reviewed
1653,Military Dictionary,S/T (short ton),,,,đoàn tấn (bằng 907 kg),FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,S/T (sound telegraph),,,,điện tín âm thanh,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,S/V (sailboat),,,,thuyền buồm,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,S1,,,,"ban quân lực, trưởng ban quân lực; sĩ quan quân lực",FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,"S1 (personnel staff officer, battalion or regiment)",,,,"(k.hiệu) sĩ quan tham mưu (về) quân lực (cấp) trung, tiểu đoàn",FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,S2,,,,ban trinh sát; trưởng ban trinh sát; chủ nhiệm trinh sát (lữ đoàn); sĩ quan trinh sát,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,"S2 (intelligence staff officer, battalion or regiment)",,,,"(k.hiệu) sĩ quan tham mưu (về) quân báo (cấp) trung, tiểu đoàn",FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,S3,,,,ban tác chiến; trưởng ban tác chiến; sĩ quan tác chiến,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,S3 (operations and training officer),,,,sĩ quan tác huấn; trưởng phòng tác huấn,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,"S3 (operations staff officer, battalion or regiment)",,,,"(k.hiệu) sĩ quan tham mưu (về) tác chiến (cấp) trung, tiểu đoàn",FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,S4,,,,ban hậu cần; trưởng ban hậu cần; chủ nhiệm hậu cần (lữ đoàn); sĩ quan hậu cần,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,"S4 (logistics staff officer, battalion or regiment)",,,,"(k.hiệu) sĩ quan tham mưu (về) hậu cần (cấp) trung, tiểu đoàn",FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,S5 (civil affairs officer),,,,chủ nhiệm công tác dân vận; sĩ quan dân vận,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,"S5 (civil affairs staff officer, battalion or regiment)",,,,"(k.hiệu) sĩ quan tham mưu (về) dân vận (cấp) trung, tiểu đoàn",FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,"S-2 (battalion or brigade intelligence staff officer, Army (Marine Corps battalion or regiment))",,,,sĩ quan tham mưu quân báo tiểu đoàn hoặc lữ đoàn lục quân (tiểu đoàn hoặc trung đoàn thủy quân lục chiến),FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,"S-3 (battalion or brigade operations staff officer, Army (Marine Corps battalion or regiment))",,,,sĩ quan tham mưu tác chiến tiểu đoàn hoặc lữ đoàn lục quân (tiểu đoàn hoặc trung đoàn thủy quân lục chiến),FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,"S-4 (battalion or brigade logistics staff officer, Army (Marine Corps battalion or regiment))",,,,sĩ quan tham mưu hậu cần tiểu đoàn hoặc lữ đoàn lục quân (tiểu đoàn hoặc trung đoàn thủy quân lục chiến),FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SA (safe arrival),,,,đến nơi an toàn,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SA (Secretary of the Army),,,,bộ trưởng bộ lục quân,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SA (security assistance),,,,sự hỗ trợ an ninh,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SA (Select Availability),,,,có khả năng tuyển chọn,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SA (selective availability (GPS)),,,,có khả năng lựa chọn (của hệ thống định vị toàn cầu),FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SA (senior adviser),,,,cố vấn cao cấp,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SA (semi-automatic),,,,bán tự động; (thuộc) bán tự động; (thuộc) tự động nạp đạn,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SA (semiautomatic),,,,bán tự động; (thuộc) bán tự động; (thuộc) tự động nạp đạn,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SA (situational awareness),,,,sự quán triệt tình hình,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SA (small arms),,,,"súng bộ binh; vũ khí bộ binh, vũ khí xách tay",FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SA (staging area),,,,khu vực triển khai trung gian,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SA (stand-alone switch),,,,tổng đài lẻ,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SAA (small arms ammunition),,,,đạn dược dùng cho vũ khí bộ binh; đạn bộ binh,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SAAFR (standard use army aircraft flight route),,,,đường bay thông thường dùng cho máy bay lục quân,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SAAM (special assignment airlift mission),,,,nhiệm vụ đặc biệt được giao cho cầu vận tải hàng không,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SAB (scientific advisory board (USAF)),,,,hội đồng cố vấn khoa học (không quân Mỹ),FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SABER (situational awareness beacon with reply),,,,tín hiệu nhận biết tình huống và trả lời,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SABMIS (seaborne antiballistic missile intercept system),,,,hệ thống đánh chặn chống tên lửa đạn đạo phóng từ hạm tàu,FALSE,,,img_1653.jpg,FALSE
1653,Military Dictionary,SABMIS (surface-to-air ballistic missile interception system),,,,"hệ thống mặt (đất, biển) đối không đánh chặn tên lửa đạn đạo",FALSE,,,img_1653.jpg,FALSE
1654,Military Dictionary,SAC (senior aircraftsman),,,,(Anh) binh nhất không quân,FALSE,,,img_1654.jpg,FALSE
1654,Military Dictionary,SAC (small arms collimator),,,,bộ chuẩn trực (của) vũ khí bộ binh,FALSE,,,img_1654.jpg,FALSE
1654,Military Dictionary,SAC (special agent in charge),,,,điệp viên đặc biệt đảm trách chỉ huy,FALSE,,,img_1654.jpg,FALSE
1654,Military Dictionary,SAC (Strategical Air Command),,,,"(Mỹ) bộ tư lệnh không quân chiến lược, bộ chỉ huy không quân chiến lược",FALSE,,,img_1654.jpg,FALSE
1654,Military Dictionary,SAC (Supreme Allied Commander),,,,tổng tư lệnh tối cao liên quân; tổng tư lệnh liên quân,FALSE,,,img_1654.jpg,FALSE
1654,Military Dictionary,SACADVON (strategic air command advanced echelon),,,,thê đội một thuộc bộ tư lệnh không quân chiến lược,FALSE,,,img_1654.jpg,FALSE
