source_page,dictionary_name,word,phonetic,part_of_speech_raw,part_of_speech_code,meaning_vi,is_subentry,example_en,example_vi,image_path,reviewed
1593,Military Dictionary,NAVBASE (Naval Base),,,,căn cứ hải quân,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVBMC (Naval Ballistic Missile Committee),,,,uỷ ban tên lửa đạn đạo hải quân liên quân NATO,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,"NAVCAG (Allied Naval Forces, Central Army Group)",,,,hải quân liên quân NATO ở khu vực tập đoàn quân trung tâm,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,"NAVCENT; NavCent (Allied Naval Forces, Central Europe)",,,,hải quân liên quân NATO ở khu vực Trung Âu,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVCHAPDET (naval cargo handling and port group detachment),,,,đội biệt phái của cụm điều hành hàng hoá và quân cảng hải quân,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVCHAPGRU (Navy cargo handling and port group),,,,cụm điều hành hàng hoá và quân cảng hải quân,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVCOM officer (navigation and communication officer),,,,sĩ quan thông tin liên lạc và dẫn đường,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVCOMSTA (naval communications station),,,,trạm thông tin liên lạc hải quân,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVDAC (navigation data assimilation center),,,,trung tâm thu thập và xử lý thông tin dẫn đường,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,"NAVEASTLANTMED; NavEastLanstMed (Naval Forces, Eastern Atlantic and Mediterranean)",,,,(lực lượng) hải quân Mỹ ở Bắc Đại Tây Dương và Địa Trung Hải,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVFACENGCOM (naval facilities engineering command),,,,bộ chỉ huy công binh công trình hải quân,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,"NAVFE (Naval Forces, Far East)",,,,lực lượng hải quân ở Viễn Đông,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVFOR (Naval Forces),,,,"hải quân, lực lượng hải quân",FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,"NAVFOREASTLANT; NavForEastLant (Naval Forces, Eastern Atlantic)",,,,hải quân Mỹ ở Bắc Đại Tây Dương,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,"NAVFORFE; NavForFE (Naval Forces, Far East)",,,,(lực lượng) hải quân Mỹ ở Viễn Đông,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,"NAVFORJAP (Naval Forces, Japan)",,,,lực lượng hải quân Mỹ ở Nhật Bản,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NavGer (Naval Forces in Germany),,,,lực lượng hải quân Mỹ ở Đức,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVGMU (naval guided missile unit),,,,đơn vị tên lửa có điều khiển của hải quân; phân đội tên lửa có điều khiển của hải quân,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,"NAVLANT (Naval Forces, Atlantic)",,,,(lực lượng) hải quân Mỹ ở Đại Tây Dương,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVMAG (naval magazine),,,,kho vũ khí hải quân; tạp chí hải quân,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVMEDCOMINST (Navy medical command instruction),,,,hướng dẫn của bộ tư lệnh quân y hải quân,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVMEDLOGCOM (Navy Medical Logistical Command),,,,bộ chỉ huy hậu cần quân y hải quân,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVMEDP (Navy medical pamphlet),,,,sổ tay quân y hải quân,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAVMTO (naval military transportation office),,,,phòng vận tải quân sự hải quân,FALSE,,,img_1593.jpg,FALSE
1593,Military Dictionary,NAvn (naval aviation),,,,"(lực lượng) không quân của hải quân, không quân hải quân",FALSE,,,img_1593.jpg,FALSE
